Content Name,File Name,Summary,Learning Outcomes,"##SUBSTITUTE(D2,CHAR(10),""."")UTE(D2,CHAR(10),""."")##"
Numeracy Entry Level 3 - Time,Time.zip,"Learn about time, key vocabulary related to time, how to read, measure and record time in different formats, order and compare dates and times and convert between hours and minutes. This course is ideal for intermediate learners. ","Understand key vocabulary related to time
Be able to read, measure and record time in different formats
Be able to order and compare dates and times
Be able to convert between hours and minutes","Understand key vocabulary related to time.Be able to read, measure and record time in different formats.Be able to order and compare dates and times.Be able to convert between hours and minutes"
Numeracy Level 1 - Times tables,Times Tables.zip,Learn about times tables and understanding the concept of multiplication. This course is ideal for beginners. ,"Understand the concept of multiplication
Use the commutative property of multiplication
Use a times table",Understand the concept of multiplication.Use the commutative property of multiplication.Use a times table
Trussed Roofs,Trussed Roofs.zip,Learn about prefabricated roof components ,"•	Triple roofs
•	Trussed rafter construction
","•	Triple roofs.•	Trussed rafter construction."
English Level 2 - Types of Essay,Types of Essay.zip,Learn about types of essay and writing. This course is ideal for intermediate learners. ,"Types of essay
A discussion
A proposal 
An argument
Impersonal writing
Personal writing","Types of essay.A discussion.A proposal .An argument.Impersonal writing.Personal writing"
English Level 2 - Types of Sentences,Types of Sentences.zip,Learn about types of sentences that can be used. This course is ideal for intermediate learners. ,"Types of sentence
Simple sentences
Compound sentences
Complex sentences",Types of sentence.Simple sentences.Compound sentences.Complex sentences
English Level 2 - Type of Speech,Types of Speech.zip,Learn about the types of speech and their purpose. This course is ideal for intermediate learners. ,"Purpose 
Specifying your purpose
Speaking to inform or describe
Speaking to instruct or explain
Speaking to persuade or inspire
Speaking to entertain or amuse ",Purpose .Specifying your purpose.Speaking to inform or describe.Speaking to instruct or explain.Speaking to persuade or inspire.Speaking to entertain or amuse 
Understanding ADHD,Understanding ADHD.zip,"Identify possible causes of ADHD, and define what ADHD really is, and what it can mean to an individual who has this condition. 

This course is suitable for everyone.","The meaning of the term ADHD
Possible causes of ADHD
How ADHD can affect the individual and others
Symptoms associated with ADHD
How ADHD can be managed
",The meaning of the term ADHD.Possible causes of ADHD.How ADHD can affect the individual and others.Symptoms associated with ADHD.How ADHD can be managed.
Understanding Anxiety,Understanding Anxiety.zip,"Learn what anxiety is, the causes of it, and how to manage it. This course is suitable for everyone. ","Understanding the terms anxiety and panic attack
Possible causes of anxiety
The effects of anxiety on the individual and others
How different ways of thinking and behaving affect anxiety
How to manage anxiety",Understanding the terms anxiety and panic attack.Possible causes of anxiety.The effects of anxiety on the individual and others.How different ways of thinking and behaving affect anxiety.How to manage anxiety
Understanding bipolar disorder,Understanding bipolar disorder.zip,"Learn what bipolar disorder is, and look at case studies to see how it can affect people close to someone suffering with this mental health illness.

This course is suitable for everyone.","The meaning of the term bipolar disorder
The causes of bipolar disorder
How bipolar disorder can affect the individual and others
Recognising the symptoms of bipolar disorder
How bipolar disorder can be managed",The meaning of the term bipolar disorder.The causes of bipolar disorder.How bipolar disorder can affect the individual and others.Recognising the symptoms of bipolar disorder.How bipolar disorder can be managed
Understanding Dementia,Understanding Dementia.zip,"Identify possible causes of dementia, what it means to have dementia, and the various difficulties people living with dementia face.

This course is suitable for everyone. ","The meaning of the term dementia
The possible causes of dementia
How dementia can affect the individual and others
How dementia can be managed
Factors adversely affecting the individual

",The meaning of the term dementia.The possible causes of dementia.How dementia can affect the individual and others.How dementia can be managed.Factors adversely affecting the individual..
Understanding Depression,Understanding Depression.zip,"Learn what depression is, how to identify it, and how to help manage it. 

This course is suitable for everyone.","The meaning of depression
Possible causes of depression
How depression affects the individual and others 
How the demangs of daily life affect depression
How depression can be managed",The meaning of depression.Possible causes of depression.How depression affects the individual and others .How the demangs of daily life affect depression.How depression can be managed
Understanding eating disorders,Understanding eating disorders.zip,"Identify and understand the possible causes of eating disorders, as well what signs to look out for.

This course is suitable for everyone.","The meaning of the term eating disorder
The possible causes of eating disorder
The effects of an eating disorder on the individual and others
How to manage a specific eating disorder",The meaning of the term eating disorder.The possible causes of eating disorder.The effects of an eating disorder on the individual and others.How to manage a specific eating disorder
English Level 2 - Understanding Essay Titles,Understanding Essay titles.zip,Learn about understanding essay titles and how to do so. This course is ideal for intermediate learners. ,"Understanding essay titles
Analysing essay titles
Picking apart the title
Focusing on the title
Making notes
Using the title
Key words in titles ",Understanding essay titles.Analysing essay titles.Picking apart the title.Focusing on the title.Making notes.Using the title.Key words in titles 
Understanding How the Mind and Feelings Work,Understanding How the Mind and Feelings Work.zip,Explore how difficult situations like the coronavirus pandemic can affect your mood and learn how to develop helpful coping strategies. This course is suitable for everyone. ,"Understand the links between low mood, depression and COVID-19
The stress bucket as a metaphor for understanding experiences
Understand the factors that fill up your bucket
Learn helpful coping strategies that empty your bucket
Learn about unhelpful coping strategies that recycle your problems back into your bucket","Understand the links between low mood, depression and COVID-19.The stress bucket as a metaphor for understanding experiences.Understand the factors that fill up your bucket.Learn helpful coping strategies that empty your bucket.Learn about unhelpful coping strategies that recycle your problems back into your bucket"
Understanding Mental Health,Understanding Mental Health.zip,"Learn what mental health is, and how it is presented in society. This course is suitable for everyone.","Know what is meant by mental health and mental ill-health
Understand how mental health care has changed over time
Understand the social context of mental health
Understand the legal context of mental health",Know what is meant by mental health and mental ill-health.Understand how mental health care has changed over time.Understand the social context of mental health.Understand the legal context of mental health
Understanding Obsessive Compulsive Disorder (OCD),Understanding Obsessive Compulsive Disorder (OCD).zip,"Learn what OCD is, the thoughts and behaviour of those with the condition, and how to help manage it.

This course is suitable for everyone.","The meaning of the term OCD
Possible causes of OCD
How OCD can affect the individual and others
Thoughts and behaviour associated with OCD
How OCD can be managed
",The meaning of the term OCD.Possible causes of OCD.How OCD can affect the individual and others.Thoughts and behaviour associated with OCD.How OCD can be managed.
Understanding Phobias,Understanding Phobias.zip,"Learn what a phobia is, and how to help manage these issues. This course is suitable for everyone. ","The meaning of phobia
Possible causes of phobia
The effects of phobias on individuals and others
How phobias can be managed",The meaning of phobia.Possible causes of phobia.The effects of phobias on individuals and others.How phobias can be managed
Understanding Post Traumatic Stress Disorder (PTSD),Understanding Post Traumatic Stress Disorder (PTSD).zip,"Learn what PTSD is, how it can affect the individual suffering with it, and what can be done to help manage it. 

This course is suitable for everyone.","The meaning of the term PTSD
Possible causes of PTSD
How PTSDcan affect the individual and others
Symptoms associated with PTSD
How PTSD can be managed
",The meaning of the term PTSD.Possible causes of PTSD.How PTSDcan affect the individual and others.Symptoms associated with PTSD.How PTSD can be managed.
Understanding Postnatal Depression,Understanding Postnatal Depression.zip,"Learn what postnatal depression is, common causes and risk factors, and how to manage it.

This course is suitable for everyone.","The meaning of postnatal depression
Possible causes of psotnatal depression
Understanding puerperal psychosis
The effects of postnatal depression on the mothers, and others 
Preparing for the birth to reduce the risk of postnatal depression
Managing postnatal depression
Managing puerperal psychosis","The meaning of postnatal depression.Possible causes of psotnatal depression.Understanding puerperal psychosis.The effects of postnatal depression on the mothers, and others .Preparing for the birth to reduce the risk of postnatal depression.Managing postnatal depression.Managing puerperal psychosis"
Understanding schizophrenia,Understanding schizophrenia.zip,"Take a look at what schizophrenia is, how it is portrayed in the media, and individual experiences of the illness.

This course is suitable for everyone.","The meaning of the term schizophrenia
Media coverage of schizophrenia
The causes of schizophrenia
How schizophrenia can affect the individual and others
How schizophrenia can be managed

",The meaning of the term schizophrenia.Media coverage of schizophrenia.The causes of schizophrenia.How schizophrenia can affect the individual and others.How schizophrenia can be managed..
Understanding Stress,Understanding Stress.zip,"Learn the variety of factors that cause stress, and tips to help manage stress. This course is suitable for everyone. ","Defining stress
Causes of stress
How stress can affet people
How the demands of daily life can contribute to stress
Managing stress",Defining stress.Causes of stress.How stress can affet people.How the demands of daily life can contribute to stress.Managing stress
Maths Level 1 - Units of Measurement,Units of measurement.zip,"Learn about units of measurement, specifically converting units of measurement in the same system. This course is ideal for beginnners. ",Convert units of measurement in the same system,Convert units of measurement in the same system
Numeracy Level 1 - Units of measurement,Units of measurement.zip,Learn about units of measurement and understand what the metric system is. This course is ideal for beginners. ,"Understand what the metric system is
Define a unit of measurement
Use units of measurement for length, weight, capacity and time correctly
Identify and use the units of measurement of the metric system and their conversions ","Understand what the metric system is.Define a unit of measurement.Use units of measurement for length, weight, capacity and time correctly.Identify and use the units of measurement of the metric system and their conversions "
Numeracy Entry Level 3 - Units of measurement,Units of Measurement.zip,"Learn about units of measurement, how to identify imperial and metric measures commonly used in the UK  and understanding when different units of measurement are used in everyday contexts. This course is ideal for intermediate learners. ","Be able to identify imperial and metric measures commonly used in the UK
Understand when different units of measurement are used in everyday contexts
Know the abbreviations for commonly used imperial and metric units of measurement
Be able to convert between imperial units
Be able to convert between metric units","Be able to identify imperial and metric measures commonly used in the UK.Understand when different units of measurement are used in everyday contexts.Know the abbreviations for commonly used imperial and metric units of measurement.Be able to convert between imperial units.Be able to convert between metric units"
Literacy Entry Level 3 - Using a dictionary and thesaurus,Using a Dictionary and Thesaurus.zip,"Learn about using a dictionary and thesaurus, what they are and the main uses of them. This course is ideal for intermediate learners. ","Understand what a dictionary is
Know the main uses of a dictionary
Understand what a thesaurus is
Know the main uses of a thesaurus",Understand what a dictionary is.Know the main uses of a dictionary.Understand what a thesaurus is.Know the main uses of a thesaurus
Numeracy Level 1 - Using data to determine the likelihood of an outcome,Using data to determine the likelihood of an outcome.zip,Learn about using data to determine the likelihood of an outcome. This course is ideal for beginners. ,"What data is
What probability is
How to read a probability scale
Use percentages, ratio and decimals to present the likelihood of an outcome
Interpret data to determine the likelihood of an outcome 
Identify and use theoretical and experimental probability ","What data is.What probability is.How to read a probability scale.Use percentages, ratio and decimals to present the likelihood of an outcome.Interpret data to determine the likelihood of an outcome .Identify and use theoretical and experimental probability "
Numeracy Level 1 - Using ICT to perform mathematical calculations,Using ICT to support mathematical calculations.zip,Learn about using ICT to perform mathematical calculations. This course is ideal for beginners. ,"Identify how ICT can support mathematical calculations 
Use the calculator to simplify daily calculations
Understand how the use of spreadsheets can assist in everyday tasks
Use the internet to perform mathematical operations
Find videos with teaching material to enhance your knowledge on any subject ",Identify how ICT can support mathematical calculations .Use the calculator to simplify daily calculations.Understand how the use of spreadsheets can assist in everyday tasks.Use the internet to perform mathematical operations.Find videos with teaching material to enhance your knowledge on any subject 
"Numeracy Level 1 - Using money, time and measures in real life context","Using money, time and measures in a real life context.zip","Learn about using money, time and measures in real life context. This course is ideal for beginners. ","Distinguish between diffeent types of coins and notes
Work out money calculations
Use time efficiently 
Perform measure calculations involving length, weight and capacity
Apply this knowledge in real life situations","Distinguish between diffeent types of coins and notes.Work out money calculations.Use time efficiently .Perform measure calculations involving length, weight and capacity.Apply this knowledge in real life situations"
Using Your Social Media Presence,Using Your Social Media Presence.zip,Learn about what a social media presence is and why it is important to your job search. This course is suitable for everyone. ,"Understand the importance of a social media presence when job hunting
Know some of the different social media platforms
Understand how to use social media",Understand the importance of a social media presence when job hunting.Know some of the different social media platforms.Understand how to use social media
Literacy Entry Level 3 - Verbs and adverbs,Verbs and adverbs.zip,"Learn about verbs and adverbs, what they are, how to use a verb in a sentence and how to use an adverb with a verb. This course is ideal for intermediate learners. ","Know what a verb is.
Understand how to use a verb in a sentence.
Know what an adverb is.
Understand how to use an adverb with a verb.",Know what a verb is.Understand how to use a verb in a sentence.Know what an adverb is.Understand how to use an adverb with a verb
English Level 2 - Verbs,Verbs.zip,Learn about verbs and how theyare used.This course is ideal for intermediate learners. ,"Verbs
Tenses
Verb endings
Common irregular verbs",Verbs.Tenses.Verb endings.Common irregular verbs
Maths Level 1 - Volume and Capacity,Volume and capacity.zip,"Learn about volume and capacity, specifically solving problems requiring calculation with capacity and volume. This course is ideal for beginners. ",Solve problems requiring calculation with capacity and volume,Solve problems requiring calculation with capacity and volume
Maths Level 1 - Weight,Weight.zip,"Learn about weight, specifically solving problems requiring calculation with weight. This course is ideal for beginners. ",Solve problems requiring calculation with weight,Solve problems requiring calculation with weight
Maths Level 1 - Whole Numbers,Whole Numbers.zip,"Learn about whole numbers, recognising the value of digits in whole numbers up to the value of 10 million, stating the value of each digit in a seven digit whole number and ordering whole numbers up to seven digits in length. This course is ideal for beginners. ","Recognise the value of digits in whole numbers up to the value of ten million
State the value of each digit in a seven digit whole number
Order whole numbers up to seven digits in length",Recognise the value of digits in whole numbers up to the value of ten million.State the value of each digit in a seven digit whole number.Order whole numbers up to seven digits in length
Numeracy Level 1 - Whole Number,Whole Numbers.zip,Learn about whole numbers and understanding them. This course is ideal for beginners. ,"Understand whole numbers
Use a number line
Use a place value chart
Write and describe whole numbers",Understand whole numbers.Use a number line.Use a place value chart.Write and describe whole numbers
Public Services Level 2 -Why Public Services are in Place,Why Public Services are in place.zip,Learn about why public services are important and what are the needs of a diverse society. This course is ideal for intermediate learners. ,"Why public services are important
What makes people diverse
A range of reasons why public services are in place",Why public services are important.What makes people diverse.A range of reasons why public services are in place
English Level 2 - Word Classes,Word Classes.zip,"Learn about word classes,  identifying them and what they are. This course is ideal for intermediate learners. ","Word classes
Identifying word classes
Verbs
Nouns and pronouns
Adjectives
Adverbs
Prepositions
Conjunctions","Word classes.Identifying word classes.Verbs.Nouns and pronouns.Adjectives.Adverbs.Prepositions.Conjunctions"
Numeracy Level 1 - Working out areas and perimeters in practical situations,Working out areas and perimeters in practical situations.zip,Learn about working out areas and perimeters in practical situations. This course is ideal for beginners. ,"Calculate the area of a square, rectangle, triangle or circle
Estiamte the perimeter of a square, rectangle, triangle or circle shape
Apply your knowledge in practical situations regarding the calculations of a perimeter or area","Calculate the area of a square, rectangle, triangle or circle.Estiamte the perimeter of a square, rectangle, triangle or circle shape.Apply your knowledge in practical situations regarding the calculations of a perimeter or area"
Literacy Entry Level 3 - Writing for argument,Writing for an Argument.zip,Learn about some common reasons for writing an argument including for and against. This course is ideal for intermediate learners. ,"Some common reasons for writing an argument
How to write in favour of something
How to write against something
How to piece together a fair argument
","Some common reasons for writing an argument.How to write in favour of something.How to write against something.How to piece together a fair argument."
Business and Entrepreneurship - Introduction to Entrepreneurship,,,"What an entrepreneur is
Entrepreneurial skills
Goals",What an entrepreneur is.Entrepreneurial skills.Goals
Business and Entrepreneurship - Introduction to Business Types,,,"Micro Businesses
SME’s – Small to Medium Enterprises
Large Businesses
Start-ups and Existing Businesses
","Micro Businesses.SME’s – Small to Medium Enterprises.Large Businesses.Start-ups and Existing Businesses."
Business and Entrepreneurship - Leadership,,,"Leadership Skills
Developing leadership skills
Negotiation 
Prioritising
Decision making
Delegation
","Leadership Skills.Developing leadership skills.Negotiation .Prioritising.Decision making.Delegation."
Business and Entrepreneurship - Trends and Ideas,,,"Trends which affect business
Recognising business trends
Generating ideas
Business ideas
Business influences
","Trends which affect business.Recognising business trends.Generating ideas.Business ideas.Business influences."
Business and Entrepreneurship - Stakeholders,,,"Stakeholders
Internal
External
Competitors as stakeholders
","Stakeholders.Internal.External.Competitors as stakeholders."
Business and Entrepreneurship - Marketing,,,"How Marketing Affects the Business, including:
The purpose of marketing
7 P’s of marketing
Marketing methods
","How Marketing Affects the Business, including:.The purpose of marketing.7 P’s of marketing.Marketing methods."
Business and Entrepreneurship - Finding Information,,,"Sources of Information
Reliability of Information
Local factors
National factors
","Sources of Information.Reliability of Information.Local factors.National factors."
Business and Entrepreneurship - Solutions to Customer Needs,,,"Identifying customer needs
Meeting customer needs
Targeting customers
","Identifying customer needs.Meeting customer needs.Targeting customers."
Business and Entrepreneurship - Types of Business,,,"Sole Trader
Partnerships 
Private Limited Companies (Ltd)
Public Limited Companies (Plc)
","Sole Trader.Partnerships .Private Limited Companies (Ltd).Public Limited Companies (Plc)."
"Business and Entrepreneurship - Finance, Staffing and Training",,,"Financial considerations when starting a business
Sources of start up finance
How to hire the right people
Staff training and plans
","Financial considerations when starting a business.Sources of start up finance.How to hire the right people.Staff training and plans."
Business and Entrepreneurship - Risk and Measures of Success,,,"Risk
Measuring business success
Business success
Overcoming failure
","Risk.Measuring business success.Business success.Overcoming failure."
Business and Entrepreneurship,,,,
Business and Entrepreneurship - Business Functions,,,"Types of business structure
Business functions
Legal considerations
","Types of business structure.Business functions.Legal considerations."
Business and Entrepreneurship - Business Plan ,,,"Business plan
Vision, mission and values
Justifying and selling the idea
","Business plan.Vision, mission and values.Justifying and selling the idea."
Business and Entrepreneurship,,,,
Business and Entrepreneurship,,,,
Business and Entrepreneurship,,,,
Business and Entrepreneurship,,,,
Business and Entrepreneurship,,,,
Business and Entrepreneurship - Personal Performance,,,"Personal SWOT analysis
Reflection on personal performance
Stress 
Are you ready to be an entrepreneur- case study 	
","Personal SWOT analysis.Reflection on personal performance.Stress .Are you ready to be an entrepreneur- case study 	."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
